Source,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,e_pmRA,e_pmDE,Gmag,BPmag,RPmag
4688795834036075904,6.67180845534,-72.71400251023,-0.6219,-0.783,-1.086,0.672,0.798,20.444950,20.847140,19.915071
4688795838331612928,6.67647902404,-72.71728187465,0.3438,0.376,-0.430,0.550,0.667,20.253256,20.698792,19.660044
4688795838332601600,6.66064784116,-72.71949800709,,,,,,21.103289,21.054686,20.790903
4688795838334426880,6.65623557827,-72.71784687945,0.0739,0.417,-1.573,0.216,0.208,19.103666,19.582916,18.554567
4688796246352139264,6.30773553104,-72.74226834286,-0.0163,0.476,-0.885,0.194,0.182,18.805326,19.305790,18.150410
4688796246353380864,6.31418133729,-72.73971227869,0.4220,-3.143,-13.451,0.427,0.442,19.972652,20.494287,19.366028
4688796285009743872,6.38182802405,-72.73855370015,,,,,,21.008040,21.469452,20.414959
4688796315071624064,6.40837931885,-72.73286961040,-0.0510,-1.089,-5.198,0.169,0.164,18.737156,19.055390,18.363432
4688796315071625216,6.42401307967,-72.73128100957,0.5991,0.875,-1.836,0.241,0.236,19.284504,19.673843,18.728270
4688796315071629568,6.45144335296,-72.72699331259,0.2569,2.789,-0.502,0.171,0.157,18.731672,19.281433,18.047323
4688796315072349568,6.43921521528,-72.73016877744,,,,,,21.116240,20.947681,20.046034
4688796315072355072,6.44852937548,-72.72840959651,0.3813,-1.024,-2.111,0.692,0.682,20.276170,20.805826,19.709625
4688796349431356544,6.34866376767,-72.73968506160,1.4962,18.613,-5.021,0.156,0.145,18.485630,19.820026,17.362377
4688796349431361920,6.37759981209,-72.73498912349,0.0337,0.518,-1.415,0.233,0.225,19.231990,19.645536,18.681833
4688796349431363712,6.35441346957,-72.73360028572,0.1530,0.769,-1.315,0.146,0.136,18.408260,18.813530,17.810785
4688796349431373440,6.38527801318,-72.72465356319,0.1995,0.582,-0.764,0.225,0.221,19.194290,19.672470,18.654394
4688796349432088960,6.37476302581,-72.72736509838,-0.4058,0.899,-1.736,0.279,0.271,19.433855,19.855217,18.790090
4688796349432094976,6.38442893617,-72.72617083545,0.2578,0.698,-0.761,0.448,0.474,19.997654,20.518284,19.485064
4688796353730526720,6.37033565369,-72.72997954095,0.5285,2.962,1.040,0.055,0.054,16.800488,17.325436,16.118660
4688796353730529152,6.36156975779,-72.73640248702,-0.0752,5.417,-3.171,0.176,0.167,18.622269,18.833166,18.326187
4688796383791109376,6.39558242802,-72.72657212771,-0.1097,0.495,-1.669,0.193,0.187,18.948689,19.379911,18.394540
4688796383791840256,6.41935289038,-72.72349184850,0.2600,0.644,-0.683,0.608,0.608,20.311485,20.918367,19.733982
4688796383791845888,6.44275187364,-72.72292714584,0.3337,0.030,-1.300,0.339,0.311,19.708864,20.209265,19.053629
4688796388089193984,6.43985945593,-72.72471092443,,,,,,21.032800,20.279823,20.475195
4688796388089557632,6.39896422404,-72.73039556209,,,,,,21.074728,21.080994,21.927769
4688796388090259200,6.42089585600,-72.72633943431,-0.4086,0.490,-1.522,0.255,0.244,19.294535,19.645660,18.713768
4688796486871035008,6.46905486247,-72.73376130456,-0.3883,0.549,-1.096,0.281,0.254,19.446830,19.750597,18.963661
4688796491167617664,6.49211136984,-72.73084504085,-1.2363,-0.504,0.640,0.970,1.151,20.701183,21.166020,19.979730
4688796491169469056,6.49703283679,-72.72600768024,0.4220,0.558,-1.527,0.264,0.250,19.331740,19.822914,18.724869
4688796521230057728,6.51854119682,-72.72722435470,0.3425,0.784,-1.176,0.201,0.203,18.972430,19.282413,18.217350
4688796521230819072,6.56151650649,-72.71950289825,0.2663,0.435,-1.193,0.492,0.533,20.186619,20.649782,19.665905
4688796525526456832,6.54164818091,-72.71982137207,-0.7755,0.244,-0.909,0.601,0.793,20.378923,20.821165,19.821568
4688796525527563008,6.52769309538,-72.72871895088,0.5528,0.324,-1.469,1.567,1.374,20.815329,20.888805,20.550974
4688796525528148736,6.51517243280,-72.72344245860,,,,,,21.114650,20.792171,20.400420
4688796525529203712,6.54273087017,-72.72354485030,-0.0482,-0.853,-9.822,0.360,0.319,19.768671,20.201954,19.161991
4688796555589798016,6.62000681514,-72.72225861293,0.5728,5.334,-2.457,0.266,0.247,19.392279,19.847815,18.785429
4688796555589799040,6.58061452746,-72.72312432712,0.0902,0.117,-1.329,0.204,0.187,18.973380,19.521013,18.353987
4688796555590553216,6.59322452397,-72.72419346975,-0.2995,0.533,-1.803,0.447,0.391,19.981184,20.277850,19.196160
4688796555604837120,6.60648674503,-72.71697517166,-0.0362,0.574,-1.512,0.111,0.111,17.945210,18.486183,17.243702
4688796559887105152,6.62550436034,-72.71720002659,,,,,,21.129967,21.101103,20.304920
4688796559888933760,6.60759194354,-72.71527844246,-0.1392,0.678,-1.006,0.343,0.306,19.675806,20.117810,18.976950
4688796559888934912,6.60916913364,-72.71739182429,0.0721,-1.100,-2.534,0.040,0.038,16.151894,16.566154,15.564397
4688796559888938368,6.59295995272,-72.72457204706,1.0429,3.120,-0.359,1.507,1.305,20.710280,,
4688796589949541760,6.63546627443,-72.71764132341,-0.1897,0.481,-1.332,0.231,0.215,19.213352,19.697453,18.618517
4688796589949544960,6.65665403318,-72.71411353301,-0.1280,1.006,-0.936,0.179,0.178,18.828165,19.295637,18.294731
4688796589950297728,6.62951685831,-72.72225142439,-0.1099,0.815,-1.274,0.234,0.218,19.239166,19.682043,18.700027
4688796589950314624,6.65905333340,-72.71609166967,-0.5126,0.914,0.006,0.683,0.787,20.493956,20.996365,19.970407
4688796589950335488,6.67720599347,-72.70645858596,0.0503,0.336,-1.321,0.216,0.198,19.044863,19.436476,18.547750
4688796594247040384,6.63819029228,-72.71263320448,-1.0641,1.212,2.870,1.265,1.442,20.833782,21.464903,20.133217
4688796594247583616,6.63709434768,-72.71568579960,,,,,,21.031914,21.879972,20.504526
4688796624309287296,6.57347499478,-72.71166859778,-0.2255,0.290,-1.365,0.214,0.192,19.028145,19.617634,18.416836
4688796624309290112,6.59810941972,-72.70817708138,-0.1734,0.656,-1.225,0.230,0.210,19.118164,19.602596,18.484907
4688796624310071808,6.61365891652,-72.70430897978,,,,,,20.886374,20.896599,20.440956
4688796628606582528,6.61285465960,-72.70816515442,,,,,,20.856878,21.281084,21.340988
4688796628608407808,6.61523671376,-72.70841262111,0.0235,0.353,-1.438,0.375,0.341,19.863490,20.366022,19.320839
4688796658669033344,6.62794112522,-72.70049991003,-0.0210,0.727,-1.130,0.145,0.135,18.422474,18.895315,17.781502
4688796658669803520,6.62848552890,-72.70877296632,0.2810,0.955,-2.288,0.809,1.090,20.538036,20.749313,19.954150
4688796658669838208,6.66505989350,-72.69209869248,1.0534,-0.199,-1.456,0.698,0.768,20.399246,20.711872,19.775461
4688796662966326400,6.65906467495,-72.70212404256,-1.8439,-2.112,-0.366,1.490,2.264,20.860912,21.008290,20.441929
4688796693028748032,6.46502215860,-72.72994359671,-0.1365,0.120,-1.274,0.164,0.151,18.673058,19.170290,18.028788
4688796693028758400,6.50044190315,-72.71975141068,0.1118,7.632,3.432,0.272,0.231,19.160482,19.754726,18.358710
4688796693029487360,6.46908934738,-72.72542737889,0.2899,0.383,-0.868,0.940,1.081,20.669668,20.542557,20.581114
4688796693029508608,6.48056568789,-72.71670975231,-0.1066,0.380,-1.244,0.313,0.282,19.610266,20.022703,18.986044
4688796697323839104,6.46600788665,-72.72650455809,0.0113,0.236,-1.336,0.141,0.132,18.424255,18.962060,17.720589
4688796697326048256,6.48677329222,-72.72500262526,0.7527,0.318,-1.945,0.799,0.816,20.631237,20.984407,20.134192
4688796697327897088,6.50287311292,-72.72216984205,-0.0351,0.560,-1.159,0.082,0.081,17.550377,18.061237,16.901045
4688796727389253632,6.51706143140,-72.71519469329,,,,,,20.920103,20.862377,20.507914
4688796727389257216,6.51168091744,-72.71340321655,0.4839,-0.224,-1.509,0.584,0.601,19.982271,19.868979,19.718493
4688796727389269248,6.55703070298,-72.71028998621,0.0452,1.288,-1.562,0.382,0.346,19.888384,20.480717,19.359283
4688796727389271680,6.54582353061,-72.70871477708,-0.6891,0.021,0.098,0.619,0.698,20.447798,21.041027,19.903324
4688796727389275776,6.55190465300,-72.70708288591,0.0759,0.716,-0.826,1.501,1.670,20.831947,21.027720,20.734238
4688796727389282816,6.55068031040,-72.70383164286,2.6174,-1.910,-4.504,1.081,1.332,20.789307,21.130798,20.399685
4688796727389287680,6.56100591541,-72.70108523003,-1.4664,1.895,-0.140,0.912,1.142,20.746426,21.235207,20.031519
4688796727398524800,6.54313893470,-72.70704496505,1.9581,0.273,-1.396,1.047,1.002,20.789867,21.137669,20.025394
4688796731685793408,6.53284231212,-72.70733479852,-0.8633,-1.184,-1.069,1.899,2.000,20.826105,21.230470,20.186306
4688796731689100544,6.54225731410,-72.70925448108,,,,,,21.006520,21.261175,20.768522
4688796761748993408,6.47851800852,-72.71272651252,-0.5884,1.451,0.359,0.816,0.758,20.425900,20.479187,20.370127
4688796761748995712,6.46602995953,-72.71105758700,-0.3510,-0.055,-1.502,0.681,0.894,20.572199,20.908138,20.043520
4688796761749005696,6.48857377394,-72.70764928472,-0.7400,0.182,-2.295,0.704,0.785,20.401102,20.714820,19.870703
4688796761749777280,6.46380012484,-72.70935005197,1.0623,5.985,-8.488,0.810,0.854,20.632946,20.716923,19.976550
4688796766047367680,6.49680379682,-72.71194924333,0.0064,0.681,-1.500,0.099,0.099,17.884325,18.453875,17.216301
4688796796107984640,6.50448982323,-72.70785489315,-0.2212,0.810,-1.164,0.267,0.249,19.357841,19.753485,18.853580
4688796796108761088,6.50404392814,-72.70088653483,1.4547,0.232,-1.457,0.879,0.787,20.458456,20.579441,19.781082
4688796796108783360,6.55277578627,-72.69080210781,1.9101,-1.252,-1.983,1.743,1.707,20.855928,21.003210,20.186476
4688796800407095936,6.55633734317,-72.69247069202,-0.0723,0.390,-1.331,0.083,0.074,17.374367,18.038614,16.624414
4688796800407101312,6.52537737899,-72.70379875806,2.5693,41.258,7.222,0.050,0.048,16.566809,17.819925,15.449824
4688796830467723648,6.56304697631,-72.70465673444,0.1308,0.331,-1.516,0.230,0.217,19.154701,19.635157,18.489454
4688796830467727872,6.61354076198,-72.69895782036,-0.0257,0.726,-1.465,0.143,0.132,18.490044,19.022510,17.803133
4688796830468493056,6.56922688965,-72.70700427222,-0.0583,0.717,-1.097,0.234,0.216,19.217793,19.693684,18.659819
4688796830468496640,6.56977201758,-72.70524366039,0.8647,0.389,-0.334,0.642,0.817,20.543509,20.927440,20.050760
4688796830468500608,6.58104650976,-72.70406931666,-0.3118,0.387,-1.441,0.454,0.441,20.104070,20.620798,19.634075
4688796830468502144,6.56833833524,-72.70208767051,,,,,,20.945500,20.570116,20.310440
4688796830468513536,6.60781178445,-72.69735297856,-1.4131,-0.796,1.109,0.771,0.688,20.549595,20.744497,19.880945
4688796830468521088,6.59357888759,-72.69338555025,0.4486,3.511,-7.033,1.646,2.091,20.876585,20.647413,20.915758
4688796834763660032,6.56619156725,-72.69845158666,1.0790,9.657,-4.775,0.427,0.385,19.964136,21.366543,18.878527
4688796834765012480,6.58124636898,-72.69877502123,,,,,,21.092447,20.933924,20.209146
4688796834765017344,6.61436535649,-72.69123341869,-0.5797,6.545,-1.844,2.437,1.344,20.769157,21.307783,20.121172
4688796834767348224,6.61558488291,-72.69033499910,0.6480,-3.300,9.195,0.333,0.297,19.697355,20.913805,18.603752
4688796834767348480,6.60488188282,-72.70209675305,0.1031,0.265,-1.326,0.247,0.226,19.291384,19.773804,18.721994
4688796864827474432,6.62255981719,-72.69019027493,-0.0307,0.228,-1.476,0.245,0.223,19.293617,19.686895,18.669090
4688796864837521280,6.66857331675,-72.68519635334,,,,,,21.038578,21.420460,20.029902
4688796869123839616,6.64247381333,-72.69143046433,-1.8477,-3.492,-3.103,0.900,1.168,20.639185,21.228127,19.699547
4688796869124759808,6.66367112402,-72.68461860721,,,,,,20.971104,21.448622,19.502722
4688796869125892224,6.63474460917,-72.69036684327,,,,,,21.023281,21.492996,20.573547
4688796869128371712,6.66111880596,-72.68909601796,-0.3622,1.543,-1.047,0.468,0.511,20.117548,20.391626,19.525633
4688796899187220992,6.58280870325,-72.68261322058,0.2864,0.207,-1.598,0.228,0.214,19.200388,19.794264,18.648054
4688796899188007808,6.56495029118,-72.68679729084,0.4977,0.335,-1.142,0.262,0.234,19.402819,19.799368,19.002247
4688796899188012928,6.59832289196,-72.68539150046,-0.0448,0.087,-1.551,0.237,0.213,19.248058,19.751453,18.752497
4688796899188017408,6.60271708332,-72.68368148011,0.1679,0.443,-1.664,0.235,0.212,19.195782,19.608337,18.626038
4688796903488111104,6.56058295338,-72.69364003649,,,,,,20.420786,18.659449,17.218700
4688796933546959104,6.64177237349,-72.68242174433,-0.1825,0.704,-1.076,0.224,0.206,19.032475,19.515032,18.448877
4688796933546959232,6.63847551210,-72.68071568698,-0.1909,0.737,-1.205,0.175,0.164,18.773024,19.161500,18.272295
4688796933547759104,6.62614158973,-72.68298319614,-0.2153,0.464,-1.457,0.211,0.192,19.051552,19.593190,18.475065
4688797758181925888,6.21684010151,-72.73958988265,0.9280,-0.499,-0.210,1.279,1.565,20.728560,20.739344,20.496698
4688797861261134336,6.03805627975,-72.74727096807,,,,,,20.951694,21.211824,20.271883
4688797895620848896,6.07148139839,-72.74182597941,-0.1173,0.466,-1.066,0.231,0.234,19.225350,19.663605,18.678558
4688797895620873600,6.07437677072,-72.74649170700,0.3066,2.271,-3.385,1.085,1.070,20.703148,21.319822,20.101910
4688797895620877056,6.09452966818,-72.73936215165,0.2479,1.074,-1.771,0.798,0.705,20.448870,20.715796,19.930855
4688797895629467264,6.04961003919,-72.74653561835,,,,,,20.997225,20.942053,19.898514
4688797895634694912,6.05210437490,-72.74341164620,-0.9092,27.682,-3.559,1.482,1.387,20.827473,21.225555,19.675700
4688797899914725120,6.09151243842,-72.74634444551,-0.3020,0.574,-1.654,0.488,0.524,20.211605,20.565535,19.721912
4688797899916127488,6.09104491283,-72.74274952898,-0.0913,5.523,-4.439,1.179,1.975,20.842148,21.162977,20.203806
4688797929979321600,6.15745515814,-72.74548077485,0.2013,0.186,-1.151,0.199,0.200,18.953373,19.385397,18.393309
4688797929979327104,6.15433862572,-72.74055554416,-0.0183,0.782,-1.052,0.196,0.210,18.920921,19.302074,18.386612
4688797929980616064,6.13480852367,-72.73883566323,-1.0766,2.350,-1.163,1.317,1.051,20.789255,20.813042,20.441500
4688797929980617088,6.14193152309,-72.73786115171,0.3310,1.271,0.141,1.365,1.417,20.779490,21.056501,20.641191
4688797934274452224,6.15176833055,-72.73761742076,0.1511,0.138,-1.774,0.551,0.552,20.188522,20.600360,19.500355
4688797934280277376,6.14084353247,-72.74296843074,0.1173,0.658,-1.250,0.257,0.256,19.277050,19.752064,18.700230
4688797964339067776,6.15930471321,-72.73866306671,,,,,,21.418032,20.541700,18.666796
4688797964340298496,6.19637262666,-72.73713850515,0.1215,0.144,-1.408,0.223,0.232,19.147324,19.660013,18.505255
4688797964340327040,6.19388296677,-72.72698810249,-0.3817,0.254,-2.280,0.484,0.474,19.988642,20.016506,19.917747
