47 Tuc gmag-rmag,47 Tuc rmag,47 Tuc rmag-5.620,,SMC gmag-rmag,SMC rmag
1.51,16.49,10.87,,1.7,15.426
1.478,15.87,10.25,,1.691,14.246
1.515,15.462,9.842,,1.678,14.032
1.558,13.994,8.374,,1.636,13.384
1.52,13.107,7.487,,1.587,12.741
1.491,12.501,6.881,,1.528,12.036
1.445,11.658,6.038,,1.486,11.557
1.409,10.94,5.32,,1.429,10.866
1.387,10.418,4.798,,1.375,10.258
1.37,9.977,4.357,,1.338,9.796
1.343,9.476,3.856,,1.334,9.75
1.306,8.945,3.325,,1.313,9.424
1.158,8.287,2.667,,1.211,8.955
1.016,7.631,2.011,,1.09,8.437
0.958,7.432,1.812,,1.09,8.436
0.828,6.996,1.376,,0.947,7.866
0.656,6.385,0.765,,0.766,7.233
0.623,6.241,0.621,,0.63,6.678
0.592,6.101,0.481,,0.566,6.396
0.564,5.974,0.354,,0.513,6.158
0.539,5.855,0.235,,0.487,6.033
0.535,5.833,0.213,,0.444,5.83
0.526,5.791,0.171,,0.415,5.685
0.503,5.68,0.06,,0.394,5.572
0.482,5.57,-0.05,,0.369,5.438
0.464,5.468,-0.152,,0.349,5.318
0.438,5.327,-0.293,,0.334,5.223
0.435,5.306,-0.314,,0.33,5.195
0.426,5.242,-0.378,,0.312,5.062
0.406,5.104,-0.516,,0.297,4.929
0.39,4.972,-0.648,,0.283,4.806
0.375,4.847,-0.773,,0.276,4.742
0.364,4.74,-0.88,,0.274,4.721
0.359,4.672,-0.948,,0.262,4.598
0.351,4.574,-1.046,,0.252,4.475
0.345,4.479,-1.141,,0.242,4.363
0.338,4.338,-1.282,,0.233,4.252
0.336,4.288,-1.332,,0.228,4.188
0.335,4.16,-1.46,,0.221,4.084
0.339,4.024,-1.596,,0.215,3.976
0.341,3.972,-1.648,,0.208,3.831
0.343,3.949,-1.671,,0.204,3.71
0.357,3.847,-1.773,,0.204,3.694
0.384,3.75,-1.87,,0.203,3.63
0.418,3.692,-1.928,,0.207,3.491
0.453,3.661,-1.959,,0.207,3.469
0.492,3.624,-1.996,,0.215,3.336
0.523,3.562,-2.058,,0.218,3.31
0.544,3.479,-2.141,,0.235,3.199
0.553,3.427,-2.193,,0.258,3.113
0.561,3.351,-2.269,,0.283,3.051
0.569,3.247,-2.373,,0.306,3.015
0.576,3.145,-2.475,,0.332,2.992
0.582,3.039,-2.581,,0.363,2.971
0.587,2.941,-2.679,,0.396,2.938
0.591,2.838,-2.782,,0.427,2.865
0.595,2.732,-2.888,,0.446,2.777
0.599,2.634,-2.986,,0.451,2.748
0.605,2.523,-3.097,,0.46,2.664
0.61,2.42,-3.2,,0.469,2.558
0.614,2.324,-3.296,,0.475,2.46
0.62,2.223,-3.397,,0.483,2.344
0.625,2.122,-3.498,,0.489,2.229
0.633,1.991,-3.629,,0.495,2.103
0.639,1.896,-3.724,,0.5,1.991
0.646,1.801,-3.819,,0.506,1.871
0.653,1.707,-3.913,,0.512,1.755
0.661,1.586,-4.034,,0.518,1.643
0.671,1.469,-4.151,,0.525,1.526
0.68,1.354,-4.266,,0.533,1.411
0.69,1.237,-4.383,,0.54,1.298
0.7,1.128,-4.492,,0.547,1.188
0.71,1.022,-4.598,,0.555,1.075
0.72,0.921,-4.699,,0.563,0.966
0.731,0.821,-4.799,,0.572,0.852
0.74,0.736,-4.884,,0.58,0.745
0.746,0.669,-4.951,,0.589,0.638
0.735,0.741,-4.879,,0.599,0.532
0.732,0.766,-4.854,,0.609,0.425
0.745,0.646,-4.974,,0.619,0.321
0.757,0.54,-5.08,,0.629,0.22
0.771,0.433,-5.187,,0.639,0.12
0.784,0.328,-5.292,,0.649,0.025
0.797,0.227,-5.393,,0.658,-0.065
0.811,0.126,-5.494,,0.661,-0.092
0.825,0.025,-5.595,,0.653,-0.035
0.84,-0.071,-5.691,,0.647,0.014
0.856,-0.166,-5.786,,0.652,-0.034
0.873,-0.26,-5.88,,0.664,-0.136
0.89,-0.353,-5.973,,0.676,-0.235
0.907,-0.444,-6.064,,0.686,-0.331
0.925,-0.532,-6.152,,0.699,-0.427
0.944,-0.621,-6.241,,0.713,-0.523
0.961,-0.706,-6.326,,0.726,-0.618
0.98,-0.792,-6.412,,0.739,-0.711
1,-0.875,-6.495,,0.753,-0.802
1.022,-0.956,-6.576,,0.768,-0.893
1.043,-1.035,-6.655,,0.783,-0.982
1.065,-1.113,-6.733,,0.798,-1.069
1.088,-1.193,-6.813,,0.814,-1.157
1.109,-1.266,-6.886,,0.834,-1.261
1.13,-1.338,-6.958,,0.851,-1.342
1.151,-1.407,-7.027,,0.875,-1.441
1.172,-1.475,-7.095,,0.897,-1.538
1.194,-1.545,-7.165,,0.917,-1.618
1.222,-1.622,-7.242,,0.942,-1.708
1.248,-1.693,-7.313,,0.967,-1.798
1.272,-1.752,-7.372,,0.989,-1.874
1.299,-1.821,-7.441,,1.015,-1.96
1.324,-1.88,-7.5,,1.041,-2.044
1.347,-1.934,-7.554,,1.072,-2.127
1.371,-1.984,-7.604,,1.104,-2.208
1.395,-2.034,-7.654,,1.135,-2.286
1.414,-2.069,-7.689,,1.166,-2.362
1.431,-2.091,-7.711,,1.196,-2.437
1.447,-2.109,-7.729,,1.227,-2.507
1.465,-2.126,-7.746,,1.259,-2.576
1.473,-2.119,-7.739,,1.29,-2.647
1.477,-2.098,-7.718,,1.321,-2.713
1.479,-2.075,-7.695,,1.355,-2.773
1.482,-2.051,-7.671,,1.39,-2.83
1.477,-1.996,-7.616,,1.425,-2.885
1.472,-1.954,-7.574,,1.445,-2.919
0.616,0.49,-5.13,,0.487,0.294
0.619,0.463,-5.157,,0.491,0.26
0.62,0.455,-5.165,,0.492,0.25
0.619,0.452,-5.168,,0.493,0.244
0.618,0.452,-5.168,,0.491,0.241
0.615,0.455,-5.165,,0.49,0.24
0.613,0.459,-5.161,,0.488,0.24
0.61,0.463,-5.157,,0.485,0.241
0.608,0.467,-5.153,,0.483,0.242
0.605,0.471,-5.149,,0.48,0.243
0.603,0.474,-5.146,,0.478,0.243
0.6,0.477,-5.143,,0.476,0.243
0.599,0.479,-5.141,,0.474,0.243
0.597,0.481,-5.139,,0.473,0.242
0.596,0.482,-5.138,,0.471,0.242
0.595,0.483,-5.137,,0.471,0.242
0.595,0.483,-5.137,,0.469,0.241
0.594,0.483,-5.137,,0.469,0.239
0.592,0.484,-5.136,,0.468,0.237
0.592,0.483,-5.137,,0.467,0.235
0.591,0.482,-5.138,,0.467,0.233
0.591,0.48,-5.14,,0.467,0.229
0.592,0.477,-5.143,,0.467,0.225
0.592,0.474,-5.146,,0.468,0.224
0.592,0.473,-5.147,,0.467,0.224
0.593,0.469,-5.151,,0.468,0.218
0.595,0.463,-5.157,,0.469,0.212
0.596,0.457,-5.163,,0.471,0.204
0.598,0.449,-5.171,,0.474,0.195
0.601,0.439,-5.181,,0.476,0.185
0.604,0.428,-5.192,,0.479,0.174
0.606,0.416,-5.204,,0.481,0.162
0.609,0.404,-5.216,,0.485,0.147
0.613,0.388,-5.232,,0.489,0.131
0.62,0.36,-5.26,,0.489,0.127
0.629,0.319,-5.301,,0.498,0.091
0.647,0.245,-5.375,,0.516,0.02
0.665,0.164,-5.456,,0.536,-0.071
0.684,0.079,-5.541,,0.557,-0.168
0.703,-0.008,-5.628,,0.576,-0.261
0.721,-0.087,-5.707,,0.594,-0.354
0.738,-0.165,-5.785,,0.611,-0.441
0.757,-0.245,-5.865,,0.614,-0.454
0.762,-0.272,-5.892,,0.626,-0.523
0.77,-0.306,-5.926,,0.642,-0.607
0.788,-0.386,-6.006,,0.654,-0.671
0.806,-0.465,-6.085,,0.662,-0.715
0.82,-0.524,-6.144,,0.664,-0.728
0.828,-0.56,-6.18,,0.661,-0.71
0.828,-0.561,-6.181,,0.658,-0.698
0.818,-0.517,-6.137,,0.653,-0.666
0.813,-0.495,-6.115,,0.663,-0.716
0.806,-0.463,-6.083,,0.681,-0.81
0.815,-0.499,-6.119,,0.705,-0.928
0.837,-0.592,-6.212,,0.725,-1.03
0.861,-0.686,-6.306,,0.744,-1.127
0.884,-0.775,-6.395,,0.763,-1.219
0.907,-0.862,-6.482,,0.783,-1.309
0.931,-0.946,-6.566,,0.803,-1.396
0.955,-1.026,-6.646,,0.825,-1.482
0.98,-1.105,-6.725,,0.857,-1.559
